Date,QQQ
2019-06-18,178.30690002441406
2019-06-19,178.97647094726562
2019-06-20,180.64083862304688
2019-06-21,180.37298583984375
2019-06-24,180.3787078857422
2019-06-25,177.28233337402344
2019-06-26,178.10675048828125
2019-06-27,178.7873992919922
2019-06-28,179.0174560546875
2019-07-01,181.4332275390625
2019-07-02,182.1522674560547
2019-07-03,183.5231170654297
2019-07-05,183.14920043945312
2019-07-08,181.86463928222656
2019-07-09,182.77540588378906
2019-07-10,184.59674072265625
2019-07-11,184.46255493164062
2019-07-12,185.52667236328125
2019-07-15,186.12103271484375
2019-07-16,185.16238403320312
2019-07-17,184.25169372558594
2019-07-18,184.46255493164062
2019-07-19,183.11085510253906
2019-07-22,184.5680389404297
2019-07-23,185.7759246826172
2019-07-24,187.07962036132812
2019-07-25,185.30615234375
2019-07-26,187.21388244628906
2019-07-29,186.5715789794922
2019-07-30,185.766357421875
2019-07-31,183.19717407226562
2019-08-01,182.28639221191406
2019-08-02,179.6022491455078
2019-08-05,173.25601196289062
2019-08-06,175.68141174316406
2019-08-07,176.63046264648438
2019-08-08,180.47459411621094
2019-08-09,178.77780151367188
2019-08-12,176.72633361816406
2019-08-13,180.59922790527344
2019-08-14,175.20211791992188
2019-08-15,175.000732421875
2019-08-16,177.8095703125
2019-08-19,180.63758850097656
2019-08-20,179.23797607421875
2019-08-21,180.8292999267578
2019-08-22,180.2445526123047
2019-08-23,174.54058837890625
2019-08-26,177.1768798828125
2019-08-27,176.8030242919922
2019-08-28,177.43568420410156
2019-08-29,180.14865112304688
2019-08-30,179.71726989746094
2019-09-03,177.9725341796875
2019-09-04,180.54168701171875
2019-09-05,183.8490447998047
2019-09-06,183.66688537597656
2019-09-09,183.28346252441406
2019-09-10,182.75619506835938
2019-09-11,184.4721221923828
2019-09-12,185.23904418945312
2019-09-13,184.57765197753906
2019-09-16,183.75318908691406
2019-09-17,184.63511657714844
2019-09-18,184.55841064453125
2019-09-19,184.86520385742188
2019-09-20,182.9095916748047
2019-09-23,182.9902801513672
2019-09-24,180.5600128173828
2019-09-25,182.58682250976562
2019-09-26,181.91445922851562
2019-09-27,179.65701293945312
2019-09-30,181.3668670654297
2019-10-01,179.88760375976562
2019-10-02,176.79454040527344
2019-10-03,178.7349090576172
2019-10-04,181.3668670654297
2019-10-07,180.8193359375
2019-10-08,178.1104736328125
2019-10-09,179.84915161132812
2019-10-10,181.2419891357422
2019-10-11,183.57618713378906
2019-10-14,183.5569610595703
2019-10-15,185.89114379882812
2019-10-16,185.43006896972656
2019-10-17,185.9199981689453
2019-10-18,184.13333129882812
2019-10-21,185.766357421875
2019-10-22,184.28704833984375
2019-10-23,184.6424560546875
2019-10-24,186.438720703125
2019-10-25,187.92759704589844
2019-10-28,189.78158569335938
2019-10-29,188.31185913085938
2019-10-30,189.22442626953125
2019-10-31,189.31088256835938
2019-11-01,191.03030395507812
2019-11-04,192.2118377685547
2019-11-05,192.31748962402344
2019-11-06,191.8852081298828
2019-11-07,192.5287628173828
2019-11-08,193.29722595214844
2019-11-11,193.03785705566406
2019-11-12,193.59503173828125
2019-11-13,193.64305114746094
2019-11-14,193.4893798828125
2019-11-15,194.91102600097656
2019-11-18,195.06471252441406
2019-11-19,195.35289001464844
2019-11-20,194.1810302734375
2019-11-21,193.74868774414062
2019-11-22,193.8736572265625
2019-11-25,196.1693878173828
2019-11-26,196.54403686523438
2019-11-27,197.91766357421875
2019-11-29,197.0147247314453
2019-12-02,194.9974822998047
2019-12-03,193.47019958496094
2019-12-04,194.449951171875
2019-12-05,194.8341522216797
2019-12-06,196.9186248779297
2019-12-09,196.0253143310547
2019-12-10,195.8619842529297
2019-12-11,196.89942932128906
2019-12-12,198.36912536621094
2019-12-13,199.0222625732422
2019-12-16,201.02029418945312
2019-12-17,201.13555908203125
2019-12-18,201.2892608642578
2019-12-19,202.54762268066406
2019-12-20,203.36412048339844
2019-12-23,203.90127563476562
2019-12-24,204.00721740722656
2019-12-26,205.807373046875
2019-12-27,205.63409423828125
2019-12-30,204.28634643554688
2019-12-31,204.67141723632812
